itemid,label,abbreviation,category,matched_test
220050,Arterial Blood Pressure systolic,ABPs,Routine Vital Signs,ART.S.
220051,Arterial Blood Pressure diastolic,ABPd,Routine Vital Signs,ART.D.
220052,Arterial Blood Pressure mean,ABPm,Routine Vital Signs,ART.M.
220179,Non Invasive Blood Pressure systolic,NBPs,Routine Vital Signs,SYS.
220180,Non Invasive Blood Pressure diastolic,NBPd,Routine Vital Signs,DIAS.
220181,Non Invasive Blood Pressure mean,NBPm,Routine Vital Signs,MEAN
220210,Respiratory Rate,RR,Respiratory,RR
220224,Arterial O2 pressure,PO2 (Arterial),Labs,pO2
220227,Arterial O2 Saturation,SaO2,Labs,sO2
220228,Hemoglobin,Hemoglobin,Labs,Hemoglobin
220235,Arterial CO2 Pressure,PCO2 (Arterial),Labs,pCO2
220277,O2 saturation pulseoxymetry,SpO2,Respiratory,SpO2
220545,Hematocrit (serum),Hematocrit (serum),Labs,Hematocrit
220546,WBC,WBC,Labs,WBC
220587,AST,AST,Labs,AST
220602,Chloride (serum),Chloride (serum),Labs,Chlor
220615,Creatinine (serum),Creatinine (serum),Labs,Creatinine
220621,Glucose (serum),Glucose (serum),Labs,Glucose
220632,LDH,LDH,Labs,LDH
220635,Magnesium,Magnesium,Labs,Magnesium
220644,ALT,Blood,Labs,ALT
220645,Sodium (serum),Sodium (serum),Labs,Sodium
220650,Total Protein,Total Protein,Labs,TotalProtein
223679,TCO2 (calc) Venous,TCO2 (calc) Venous,Labs,CO2
223761,Temperature Fahrenheit,Temperature F,Routine Vital Signs,Temperature
223762,Temperature Celsius,Temperature C,Routine Vital Signs,Temperature
223830,PH (Arterial),PH (Arterial),Labs,PH
223835,Inspired O2 Fraction,FiO2,Respiratory,FiO2
224167,Manual Blood Pressure Systolic Left,Manual BPs L,Routine Vital Signs,SYS.
224643,Manual Blood Pressure Diastolic Left,Manual BPd L,Routine Vital Signs,DIAS.
224728,Peak Exp Flow Rate,Peak Exp Flow Rate,Respiratory,Peak
224828,Arterial Base Excess,Arterial Base Excess,Labs,cBase
225309,ART BP Systolic,ART BP Systolic,Routine Vital Signs,ART.S.
225310,ART BP Diastolic,ART BP Diastolic,Routine Vital Signs,ART.D.
225312,ART BP Mean,ART BP Mean,Routine Vital Signs,ART.M.
225612,Alkaline Phosphate,Blood,Labs,ALP
225624,BUN,Blood,Labs,UreaNitrogen
225625,Calcium non-ionized,Blood,Labs,Calcium
225634,CK (CPK),CK (CPK),Labs,CK
225636,D-Dimer,D-Dimer,Labs,DDimer
225639,Differential-Basos,Differential-Basos,Labs,Basophils
225640,Differential-Eos,Differential-Eos,Labs,Eosinophils
225641,Differential-Lymphs,Differential-Lymphs,Labs,Lymphocytes
225642,Differential-Monos,Differential-Monos,Labs,Monocytes
225643,Differential-Neuts,Differential-Neuts,Labs,Neutrophils
225667,Ionized Calcium,Ionized Calcium,Labs,CalciumIonized
225668,Lactic Acid,Lactic Acid,Labs,Lactate
225671,LDL calculated,LDL calculated,Labs,LDL
225677,Phosphorous,Phosphorous,Labs,Phosphorous
225690,Total Bilirubin,Total Bilirubin,Labs,TotalBilirubin
225698,TCO2 (calc) Arterial,TCO2 (calc) Arterial,Labs,CO2
226534,Sodium (whole blood),Sodium (whole blood),Labs,Sodium
226536,Chloride (whole blood),Chloride (whole blood),Labs,Chlor_whole
226537,Glucose (whole blood),Glucose (whole blood),Labs,Glucose_whole
226540,Hematocrit (whole blood - calc),Hematocrit (whole blood - calc),Labs,Hematocrit
227073,Anion gap,Anion gap,Labs,AnionGap
227242,Manual Blood Pressure Diastolic Right,Manual BPd R,Routine Vital Signs,DIAS.
227243,Manual Blood Pressure Systolic Right,Manual BPs R,Routine Vital Signs,SYS.
227441,LDL measured,LDL measured,Labs,LDL
227442,Potassium (serum),Potassium (serum),Labs,Potassium
227443,HCO3 (serum),HCO3 (serum),Labs,HCO3
227444,C Reactive Protein (CRP),Blood,Labs,CRP
227445,CK-MB,CK-MB,Labs,CK
227456,Albumin,Blood,Labs,Albumin
227457,Platelet Count,Platelet Count,Labs,PlateletCount
227464,Potassium (whole blood),Potassium (whole blood),Labs,Potassium_whole
227465,Prothrombin time,PT,Labs,PT
227466,PTT,PTT,Labs,PTT
227467,INR,INR,Labs,INR(PT)
227468,Fibrinogen,Fibrinogen,Labs,Fibrinogen
228240,D-Dimer (SOFT),D-Dimer (SOFT),Labs,DDimer
228640,EtCO2,EtCO2,Routine Vital Signs,EtCO2
229280,FiO2 (ECMO),FiO2 (ECMO),ECMO,FiO2
229355,Absolute Neutrophil Count,Blood,Labs,Neutrophils_abs
229357,Absolute Count - Neuts,Blood,Labs,Neutrophils_abs
229358,Absolute Count - Lymphs,Blood,Labs,Lymphocytes_abs
229359,Absolute Count - Monos,Blood,Labs,Monocytes_abs
229360,Absolute Count - Eos,Blood,Labs,Eosinophils_abs
229361,Absolute Count - Basos,Blood,Labs,Basophils_abs
229761,Creatinine (whole blood),Creatinine (whole blood),Labs,Creatinine_whole
229841,FiO2 (CH),FiO2 (CH),ECMO,FiO2
230042,RR per min,RR per min,RDOS,RR
